screen_id	source_database	query_family	pubmed_id	title	first_author	pub_year	journal	title_abstract_decision	exclusion_code	metric_signal	outcome_signal	population_signal	notes
PUBMED_MAIN_001	PubMed	main_tiab_beyond_ahi_hard_outcomes	36899115	Obstructive sleep apnoea heterogeneity and cardiovascular disease.	Redline S	2023	Nature reviews. Cardiology	exclude	E7	none	general CVD review	adult OSA	Narrative review, not original prognostic study.
PUBMED_MAIN_002	PubMed	main_tiab_beyond_ahi_hard_outcomes	32747397	Sleep-related breathing disorders and pulmonary hypertension.	Adir Y	2021	The European respiratory journal	exclude	E7	none	pulmonary hypertension	mixed SDB	Review and mixed sleep-breathing-disorder scope, not target prognostic exposure study.
PUBMED_MAIN_003	PubMed	main_tiab_beyond_ahi_hard_outcomes	34353537	Sleep Disordered Breathing and Cardiovascular Disease: JACC State-of-the-Art Review.	Cowie MR	2021	Journal of the American College of Cardiology	exclude	E7	none	general CVD review	mixed SDB	State-of-the-art review, not original study.
PUBMED_MAIN_003	PubMed	main_tiab_beyond_ahi_hard_outcomes	41794120	Association of High Cardiovascular Disease Risk Obstructive Sleep Apnea with Incident Atrial Fibrillation: the Multi-Ethnic Study of Atherosclerosis.	Xu	2026	Chest	uncertain		HB plus delta-HR high-risk phenotype	incident atrial fibrillation	MESA OSA subgroup	HB is embedded in a composite high-risk phenotype with delta-HR; full text needed to determine whether separable HB results are available.
PUBMED_MAIN_004	PubMed	main_tiab_beyond_ahi_hard_outcomes	30376054	The hypoxic burden of sleep apnoea predicts cardiovascular disease-related mortality: the Osteoporotic Fractures in Men Study and the Sleep Heart Health Study.	Azarbarzin A	2019	European heart journal	include		HB	CV mortality	community / older-adult OSA cohorts	Landmark original prognostic cohort; core anchor study.
PUBMED_MAIN_005	PubMed	main_tiab_beyond_ahi_hard_outcomes	36115739	Hypoxic Burden in Obstructive Sleep Apnea: Present and Future.	Martinez-Garcia MA	2023	Archivos de bronconeumologia	exclude	E7	HB	none	adult OSA	Review on HB, useful for citation chasing but not for meta extraction.
PUBMED_MAIN_006	PubMed	main_tiab_beyond_ahi_hard_outcomes	37418748	Sleep Apnea Physiological Burdens and Cardiovascular Morbidity and Mortality.	Labarca G	2023	American journal of respiratory and critical care medicine	include		HB plus other physiological burdens	incident CVD / mortality	community cohorts	Original prognostic study with HB-relevant data and hard outcomes.
PUBMED_MAIN_006	PubMed	main_tiab_beyond_ahi_hard_outcomes	41733912	Sleep Apnea-Specific Hypoxic Burden and Postoperative Outcomes of Major Noncardiothoracic Surgery.	Bailly	2026	JAMA network open	exclude	E3	SASHB	30-day postoperative composite	diagnosed OSA undergoing surgery	Primary outcome is a short-term postoperative complication composite outside the prespecified longitudinal cardiovascular/mortality frame.
PUBMED_MAIN_007	PubMed	main_tiab_beyond_ahi_hard_outcomes	39229876	Hypoxic burden - definitions, pathophysiological concepts, methods of evaluation, and clinical relevance.	Parekh A	2024	Current opinion in pulmonary medicine	exclude	E7	HB	none	adult OSA	Review article.
PUBMED_MAIN_008	PubMed	main_tiab_beyond_ahi_hard_outcomes	34940026	Association and Risk Factors for Obstructive Sleep Apnea and Cardiovascular Diseases: A Systematic Review.	Mitra AK	2021	Diseases (Basel, Switzerland)	exclude	E7	none	general CVD review	adult OSA	Systematic review, not original study.
PUBMED_MAIN_009	PubMed	main_tiab_beyond_ahi_hard_outcomes	39378016	Estimating Cardiovascular Benefits of Tirzepatide in Sleep Apnea and Obesity: Insight from the SURMOUNT-OSA Trials.	Beccuti G	2024	Current obesity reports	exclude	E7	HB	cardiovascular benefit commentary	obesity plus OSA	Commentary, not original prognostic study.
PUBMED_MAIN_010	PubMed	main_tiab_beyond_ahi_hard_outcomes	34648724	Sleep Apnea-Specific Hypoxic Burden, Symptom Subtypes, and Risk of Cardiovascular Events and All-Cause Mortality.	Trzepizur W	2022	American journal of respiratory and critical care medicine	include		HB plus symptom subtype	MACE / all-cause mortality	clinical OSA cohort	Original hard-outcome study in newly diagnosed OSA.
PUBMED_MAIN_011	PubMed	main_tiab_beyond_ahi_hard_outcomes	37734857	Hypoxic burden to guide CPAP treatment allocation in patients with obstructive sleep apnoea: a post hoc study of the ISAACC trial.	Pinilla L	2023	The European respiratory journal	uncertain		HB	CPAP cardiovascular benefit / MACE	ACS plus OSA trial population	Post hoc CPAP allocation paper; may be relevant to sensitivity or separate intervention-effect-modifier table.
PUBMED_MAIN_012	PubMed	main_tiab_beyond_ahi_hard_outcomes	34672945	Opioids and obstructive sleep apnea.	Freire C	2022	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	exclude	E7	none	none	mixed opioid / OSA	Review on opioids and OSA, not target prognostic paper.
PUBMED_MAIN_013	PubMed	main_tiab_beyond_ahi_hard_outcomes	40794640	Cardiovascular benefit of continuous positive airway pressure according to high-risk obstructive sleep apnoea: a multi-trial analysis.	Azarbarzin A	2025	European heart journal	uncertain		high-risk OSA hypoxaemia phenotype	MACCE under CPAP	multi-trial OSA with CVD	Intervention-effect-modifier analysis; keep for now pending full-text rule on post hoc trial analyses.
PUBMED_MAIN_014	PubMed	main_tiab_beyond_ahi_hard_outcomes	39786443	Central sleep apnea and cardiovascular disease state-of-the-art.	Javaheri S	2025	Sleep	exclude	E1	none	general CVD review	central sleep apnea	Wrong population focus: central sleep apnea.
PUBMED_MAIN_015	PubMed	main_tiab_beyond_ahi_hard_outcomes	26101650	Epidemiological aspects of obstructive sleep apnea.	Garvey JF	2015	Journal of thoracic disease	exclude	E7	none	general epidemiology	adult OSA	Review article.
PUBMED_MAIN_016	PubMed	main_tiab_beyond_ahi_hard_outcomes	37698405	Ventilatory Burden as a Measure of Obstructive Sleep Apnea Severity Is Predictive of Cardiovascular and All-Cause Mortality.	Parekh A	2023	American journal of respiratory and critical care medicine	exclude	E2	ventilatory burden	CV / all-cause mortality	mixed cohorts	Wrong exposure family for the current protocol.
PUBMED_MAIN_017	PubMed	main_tiab_beyond_ahi_hard_outcomes	38792502	Obstructive Sleep Apnea and Pulmonary Hypertension: A Chicken-and-Egg Relationship.	Balcan B	2024	Journal of clinical medicine	exclude	E7	none	pulmonary hypertension	adult OSA	Review article.
PUBMED_MAIN_018	PubMed	main_tiab_beyond_ahi_hard_outcomes	25511335	Obstructive sleep apnea: awakening the hidden truth.	Viswanath A	2015	Nigerian journal of clinical practice	exclude	E7	none	general morbidity / mortality	adult OSA	Review article.
PUBMED_MAIN_019	PubMed	main_tiab_beyond_ahi_hard_outcomes	40008168	OSA symptom subtypes and hypoxic burden independently predict distinct cardiovascular outcomes.	Mazzotti DR	2025	ERJ open research	include		HB plus symptom subtype	distinct CV outcomes	community OSA cohort	Original prognostic study with hard cardiovascular outcomes.
PUBMED_MAIN_020	PubMed	main_tiab_beyond_ahi_hard_outcomes	30687538	Cardiac rhythm disorders in obstructive sleep apnea.	Geovanini GR	2018	Journal of thoracic disease	exclude	E7	none	arrhythmia review	adult OSA	Review article, though useful for citation chasing.
PUBMED_MAIN_020	PubMed	main_tiab_beyond_ahi_hard_outcomes	40818776	Association of Hypoxic Burden With Cardiovascular Events: A Risk Stratification Analysis of the Randomized Intervention With CPAP in Coronary Artery Disease and Sleep Apnea Cohort.	Peker	2025	Chest	uncertain		HB	MACCE	CAD plus OSA observational/trial-linked cohort	Likely useful sensitivity or intervention-stratified companion paper; retain for full-text rule check.
PUBMED_MAIN_021	PubMed	main_tiab_beyond_ahi_hard_outcomes	40208311	Sleep-disordered Breathing in Patients with Chronic Obstructive Pulmonary Disease: Prevalence and Outcomes.	Marin JM	2025	Annals of the American Thoracic Society	exclude	E1	none	prevalence and outcomes	COPD-SDB overlap	Wrong population focus; overlap/COPD paper rather than adult OSA cohort.
PUBMED_MAIN_022	PubMed	main_tiab_beyond_ahi_hard_outcomes	26037823	Epidemiology of Sleep Disturbances and Cardiovascular Consequences.	Badran M	2015	The Canadian journal of cardiology	exclude	E7	none	general cardiovascular consequences	mixed sleep disturbance scope	Review article.
PUBMED_MAIN_023	PubMed	main_tiab_beyond_ahi_hard_outcomes	40404132	Nocturnal Hypoxemia in Respiratory Medicine: Pathophysiology, Measurement, and Association with Outcomes.	Hajipour M	2025	Seminars in respiratory and critical care medicine	exclude	E1	sleep hypoxemia general	general outcomes	general respiratory medicine	General respiratory hypoxemia review, not adult OSA prognostic cohort.
PUBMED_MAIN_024	PubMed	main_tiab_beyond_ahi_hard_outcomes	32108601	The uses of overnight pulse oximetry.	Singh S	2020	Lung India : official organ of Indian Chest Society	exclude	E7	ODI / oximetry general	diagnostic use	general sleep medicine	Diagnostic/review-style paper, not hard-outcome prognostic study.
PUBMED_MAIN_025	PubMed	main_tiab_beyond_ahi_hard_outcomes	38773880	Hypoxic indices for obstructive sleep apnoea severity and cardiovascular disease risk prediction: A comparison and application in a community population.	Hui X	2024	Respirology (Carlton, Vic.)	include		ODI plus rHB and related hypoxic indices	CVD risk prediction	community OSA cohort	Original comparison study of hypoxic indices with cardiovascular-risk relevance in SHHS.
PUBMED_MAIN_026	PubMed	main_tiab_beyond_ahi_hard_outcomes	29564601	Wake-up stroke and sleep-disordered breathing: a meta-analysis of current studies.	Xiao Z	2018	Journal of neurology	exclude	E7	none	wake-up stroke meta	stroke population	Meta-analysis, not original study.
