Study,Metric family,Outcome,Effect estimate,Reason retained outside primary pooled analyses,Main note
Labarca 2023 [9],HB,CVD mortality,HR 1.22 (1.10-1.35),Only one directly comparable cohort family,"The adjusted CVD-mortality estimate was available, but the article did not report a corresponding event count."
Mazzotti 2025 [30],HB,CVD mortality,HR 1.22 (0.95-1.56),Single-publication cohort family or overlap-sensitive row,"HB effect adjusted for symptom subtypes and clinical covariates, but not for AHI/T90/nadir."
Mazzotti 2025 [30],HB,CVD mortality,HR 1.63 (1.13-2.35),Alternate model from the same cohort family,Incremental-risk result from an alternate model within the same cohort family.
Peker 2025 [32],HB,MACCE,HR 1.87 (1.17-2.98),Specialized secondary-prevention cohort,Specialized secondary-prevention cohort retained outside the primary pooled analyses.
Mazzotti 2025 [30],HB,MACE,HR 0.98 (0.87-1.11),Single-publication cohort family or overlap-sensitive row,Null HB-MACE result in the free-of-baseline-CVD SHHS cohort.
Mazzotti 2025 [30],HB,MACE,HR 1.05 (0.89-1.23),Alternate model from the same cohort family,Incremental model remained null for MACE after adjustment for other OSA severity measures.
Trzepizur 2022 [16],HB,MACE,HR 1.21 (1.07-1.38),Single-publication cohort family or overlap-sensitive row,Primary clinical-cohort HB anchor with CPAP-adjusted MACE model.
Labarca 2023 [9],HB,incident CVD,HR 1.13 (1.02-1.26),Only one directly comparable cohort family,Single community-cohort HB row without a second directly comparable cohort family.
Labarca 2023 [9],HB,incident hard CVD,HR 1.45 (1.14-1.84),Only one directly comparable cohort family,Single community-cohort HB row without a second directly comparable cohort family.
Chung 2022 [26],ODI,30-day postoperative cardiovascular events,HR 1.63 (1.05-2.53),Specialized perioperative cohort,Protocol-adjacent ODI signal in a perioperative unrecognized-OSA setting.
Baumert 2020 [11],ODI,CVD mortality,HR 1.16 (0.97-1.38),Only one directly comparable cohort family,Adjusted ODI was not independently associated with CVD mortality in this MrOS analysis.
Hui 2024 [28],ODI,CVD mortality,HR 1.04 (0.70-1.56),Comparator metric from the same cohort family,Same SHHS mortality dataset family as other HB papers.
Xu 2025 [31],ODI,MACCE,HR 1.81 (1.04-3.16),Specialized ACS cohort,Post hoc ACS subgroup analysis.
Azakli 2024 [15],ODI,all-cause mortality,HR 1.01 (1.00-1.01),Single adjusted cohort on the native scale,Single clinical-cohort ODI mortality estimate with a directly extractable multivariable effect size.
Johansson 2011 [20],ODI,all-cause mortality,HR 3.00 (1.10-8.60),Restricted elderly cardiovascular subgroup,The overall elderly community cohort did not show a mortality association.
Vichova 2025 [29],ODI,all-cause mortality,HR 1.58 (1.10-2.25),Restricted special-population subgroup,Nested treated-DM subgroup.
Mooe 2001 [19],ODI,cerebrovascular events,HR 2.62 (1.26-5.46),Specialized CAD cohort,CAD cohort with hard cerebrovascular outcomes.
