Study,Cohort,Cohort class,Country,Metric family,Outcome family,Exposure scale,Analytic N,Follow-up (years),Effect measure,Effect estimate,Lower CI,Upper CI,AHI adjusted,Analysis layer,Pooling status,Adjustment summary,Source location
Azarbarzin 2019 [7],MrOS Sleep Study,Community physiology,USA,HB,CVD mortality,highest quintile (>80th percentile) vs lowest quintile (<20th percentile),2743,10.0,HR,2.730,1.710,4.360,yes,Main pool,categorical high vs low main,"age, BMI, race, sleep duration, smoking, alcohol, COPD, renal failure, AHI, MinSat, TST90, hypertension, diabetes, stro…",Table 3 Model 4; MrOS results paragraph
Azarbarzin 2019 [7],SHHS,Community physiology,USA,HB,CVD mortality,highest quintile (>80th percentile) vs lowest quintile (<20th percentile),4672,10.9,HR,1.960,1.110,3.430,yes,Main pool,categorical high vs low main,"age, BMI, race, sex, sleep duration, study site, smoking, AHI, MinSat, TST90, hypertension, diabetes, stroke, prevalent…",Table 3 Model 4; SHHS results paragraph
Azarbarzin 2020 [8],SHHS,Community physiology,USA,SASHB,incident heart failure,per 1 SD increase in natural log-transformed SASHB,2259 men subgroup; 4535 in fully adjusted interaction model,10.4,HR,1.180,1.020,1.370,no,Main pool,continuous standardized main,"age, sex, sex*SASHB interaction, race, BMI, total sleep time, study site, smoking, COPD, diabetes, hypertension, preval…",Results paragraph p0095; Figure 4 caption
Azarbarzin 2020 [8],MrOS Sleep Study,Community physiology,USA,SASHB,incident heart failure,per 1 SD increase in natural log-transformed SASHB,2653; 2646 in fully adjusted model,8.8,HR,1.220,1.020,1.450,no,Main pool,continuous standardized main,"age, race, BMI, total sleep time, study site, smoking, COPD, diabetes, hypertension, prevalent CHD, and stroke",Results paragraph p0100; Figure 5 caption
Labarca 2023 [9],MESA Sleep Study,Community physiology,USA,HB,incident hard CVD,per 1 SD increase in log-transformed standardized HB,1891,median 6.9,HR,1.450,1.140,1.840,no,Main pool,continuous standardized main,"age, sex, race/ethnicity, BMI, hypertension, diabetes, smoking status, baseline wake SpO2, and desaturation sensitivity…",Table 2 Model 4; MESA results paragraph
Labarca 2023 [9],MESA Sleep Study,Community physiology,USA,HB,all-cause mortality,per 1 SD increase in log-transformed standardized HB,1973,median 6.9,HR,1.210,1.020,1.440,no,Main pool,continuous standardized main,"age, sex, race/ethnicity, BMI, hypertension, diabetes, smoking status, baseline wake SpO2, and desaturation sensitivity…",Table 2 Model 4; MESA results paragraph
Labarca 2023 [9],MrOS Sleep Study,Community physiology,USA,HB,incident CVD,per 1 SD increase in log-transformed standardized HB,1518,median 9.4,HR,1.130,1.020,1.260,no,Main pool,continuous standardized main,"age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)",Table 3 Model 4; MrOS results paragraph
Labarca 2023 [9],MrOS Sleep Study,Community physiology,USA,HB,CVD mortality,per 1 SD increase in log-transformed standardized HB,2627,median 12.0,HR,1.220,1.100,1.350,no,Main pool,continuous standardized main,"age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)",Table 3 Model 4; MrOS results paragraph
Labarca 2023 [9],MrOS Sleep Study,Community physiology,USA,HB,all-cause mortality,per 1 SD increase in log-transformed standardized HB,2627,median 12.0,HR,1.060,1.000,1.120,no,Main pool,continuous standardized main,"age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)",Table 3 Model 4; MrOS results paragraph
Hui 2024 [28],SHHS,Community physiology,USA,ODI,CVD mortality,severe category L3 vs mild category L1,4485,NR,HR,1.040,0.700,1.560,no,Sensitivity/comparator,same cohort metric comparison sensitivity,"age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and pr…","Table 2 Model 1, CVD mortality, ODI L3 vs L1"
Hui 2024 [28],SHHS,Community physiology,USA,rHB,CVD mortality,highest quintile Q5 vs lowest quintile Q1,4485,NR,HR,1.630,1.050,2.530,no,Sensitivity/comparator,same cohort metric comparison sensitivity,"age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and pr…","Table 2 Model 1, CVD mortality, rHB Q5 vs Q1"
Hui 2024 [28],SHHS,Community physiology,USA,ODI,incident CVD,severe category L3 vs mild category L1,3872,NR,HR,1.070,0.830,1.390,no,Sensitivity/comparator,same cohort metric comparison sensitivity,"age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD","Table 2 Model 1, CVD morbidity, ODI L3 vs L1"
Hui 2024 [28],SHHS,Community physiology,USA,rHB,incident CVD,highest quintile Q5 vs lowest quintile Q1,3872,NR,HR,1.240,0.950,1.620,no,Sensitivity/comparator,same cohort metric comparison sensitivity,"age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD","Table 2 Model 1, CVD morbidity, rHB Q5 vs Q1"
Labarca 2019 [24],single-centre moderate-to-severe OSA cohort,Clinical OSA/referral,NR,T90,all-cause mortality,>20% vs <=20%,365,5,OR,2.700,1.370,5.220,no,Sensitivity/comparator,sensitivity unadjusted threshold,unadjusted odds-ratio analysis using chi-square/Fisher comparisons in GraphPad Prism; no multivariable adjustment repor…,Results paragraph and Table 1 in supplied PDF
Vichova 2025 [29],SHHS diabetes subgroup,Community physiology,USA,T90,all-cause mortality,>9.1% vs <=9.1%,453,9.5,HR,1.860,1.270,2.720,no,Sensitivity/comparator,special population sensitivity,"age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD","Table 3, Time of SpO2 <90%, all-cause mortality, DM row"
Vichova 2025 [29],SHHS treated-diabetes subgroup,Community physiology,USA,ODI,all-cause mortality,>13.3 vs <=13.3,not reported for treated-DM subgroup,9.5 mean in overall DM subgroup,HR,1.580,1.100,2.250,no,Sensitivity/comparator,special population sensitivity,"age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD","Table 3, ODI, all-cause mortality, Treated DM row"
Heinzinger 2023 [13],Cleveland Clinic sleep-study cohort,Clinical OSA/referral,USA,T90,incident atrial fibrillation,per 10-unit increase,42057,5,HR,1.060,1.040,1.080,no,Main pool,continuous standardized main,"age, sex, race, BMI, smoking history, COPD, CAD, heart failure, myocardial infarction, CABG, hypertension, diabetes, hy…",Table 2; Figure 2B; Primary Analysis paragraph
Heinzinger 2023 [13],Cleveland Clinic sleep-study cohort,Clinical OSA/referral,USA,nadir SpO2,incident atrial fibrillation,per 10-unit decrease,42057,5,HR,1.090,1.030,1.150,no,Main pool,continuous standardized main,"age, sex, race, BMI, smoking history, COPD, CAD, heart failure, myocardial infarction, CABG, hypertension, diabetes, hy…",Table 2; Figure 2C; Primary Analysis paragraph
Mazzotti 2025 [30],SHHS,Community physiology,USA,HB,CVD mortality,per 1-unit increase in log-transformed HB,3714,median 11.7,HR,1.220,0.950,1.560,no,Main pool,continuous log main,"symptom subtypes plus age, sex, BMI, race, ethnicity, alcohol use, smoking status, COPD, type 2 diabetes, hypertension,…","Table 1, Model B3, cardiovascular mortality"
Mazzotti 2025 [30],SHHS,Community physiology,USA,HB,CVD mortality,per 1-unit increase in log-transformed HB,3698,median 11.7,HR,1.630,1.130,2.350,yes,Sensitivity/comparator,ahi adjusted sensitivity,"symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturatio…","Table 1, Model C3, cardiovascular mortality"
Mazzotti 2025 [30],SHHS,Community physiology,USA,HB,MACE,per 1-unit increase in log-transformed HB,3714,median 11.4,HR,0.980,0.870,1.110,no,Main pool,continuous log main,"symptom subtypes plus age, sex, BMI, race, ethnicity, alcohol use, smoking status, COPD, type 2 diabetes, hypertension,…","Table 1, Model B3, MACE"
Mazzotti 2025 [30],SHHS,Community physiology,USA,HB,MACE,per 1-unit increase in log-transformed HB,3698,median 11.4,HR,1.050,0.890,1.230,yes,Sensitivity/comparator,ahi adjusted sensitivity,"symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturatio…","Table 1, Model C3, MACE"
Azarbarzin 2019 [7],MrOS Sleep Study,Community physiology,USA,HB,CVD mortality,per 1-unit increase in log10-transformed HB,2743,10.0,HR,2.030,1.370,3.000,yes,Main pool,continuous log main,"age, BMI, race, sleep duration, smoking, alcohol, COPD, renal failure, AHI, MinSat, TST90, hypertension, diabetes, stro…",Supplementary Table S3 Model 4; user-supplied supplement docx
Azarbarzin 2019 [7],SHHS,Community physiology,USA,HB,CVD mortality,per 1-unit increase in log10-transformed HB,4672,10.9,HR,1.730,1.080,2.780,yes,Main pool,continuous log main,"age, BMI, race, sex, sleep duration, study site, smoking, AHI, MinSat, TST90, hypertension, diabetes, stroke, prevalent…",Supplementary Table S3 Model 4; user-supplied supplement docx
