analysis_cell_id	exposure_metric	outcome_primary	scale_family	k_rows_raw	k_rows_default_meta_include	cohort_families_raw	cohort_families_default_include	default_action	primary_meta_status	primary_poolable_now	rationale	included_study_ids	held_out_study_ids
HB__CVD_mortality__categorical_high_vs_low	HB	CVD mortality	categorical_high_vs_low	2	2	MrOS; SHHS	MrOS; SHHS	pool_primary	meta_ready	yes	Two independent cohorts with the same metric family, same outcome, and the same high-versus-low contrast from the original HB paper.	Azarbarzin_2019_MrOS_CVDmort_Q5vsQ1; Azarbarzin_2019_SHHS_CVDmort_Q5vsQ1	
HB__CVD_mortality__continuous_log	HB	CVD mortality	continuous_log	3	2	MrOS; SHHS	MrOS; SHHS	pool_primary_after_overlap_resolution	meta_ready_after_overlap_resolution	yes	Three rows exist, but the SHHS free-baseline-CVD row from 2025 overlaps the earlier SHHS cohort family; default primary pooling keeps the two 2019 cohort-level rows and holds the nested SHHS subset as overlap-sensitive narrative evidence.	Azarbarzin_2019_MrOS_CVDmort_log10HB_M4; Azarbarzin_2019_SHHS_CVDmort_log10HB_M4	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_B3
HB__CVD_mortality__continuous_standardized	HB	CVD mortality	continuous_standardized	1	0	MrOS		narrative_single_study	hold_default	no	Only one independent standardized HB row is available for cardiovascular mortality.		Labarca_2023_MrOS_CVDdeath_HB_per1SD
HB__MACE__continuous_log	HB	MACE	continuous_log	2	0	Pays_de_la_Loire; SHHS		narrative_primary_composite_heterogeneity	hold_default	no	Both studies report log-scale HB associations, but their composite endpoints differ materially: one includes CHD/HF/stroke/CV mortality whereas the other includes all-cause mortality/AMI/stroke/revascularization.		Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_B3; Trzepizur_2022_PaysLoire_MACE_logHB_M2
HB__all-cause_mortality__continuous_standardized	HB	all-cause mortality	continuous_standardized	2	2	MESA; MrOS	MESA; MrOS	pool_primary	meta_ready	yes	Two independent cohorts report per-1-SD HB associations for all-cause mortality with compatible adjusted HRs.	Labarca_2023_MESA_allcause_HB_per1SD; Labarca_2023_MrOS_allcause_HB_per1SD	
HB__incident_CVD__continuous_standardized	HB	incident CVD	continuous_standardized	1	0	MrOS		narrative_single_study	hold_default	no	Only one independent row is currently available.		Labarca_2023_MrOS_incidentCVD_HB_per1SD
HB__incident_hard_CVD__continuous_standardized	HB	incident hard CVD	continuous_standardized	1	0	MESA		narrative_single_study	hold_default	no	Only one independent row is currently available.		Labarca_2023_MESA_hardCVD_HB_per1SD
ODI__30-day_postoperative_cardiovascular_events__categorical_high_vs_low	ODI	30-day postoperative cardiovascular events	categorical_high_vs_low	1	0	POSA2022		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Chung_2022_Surgery_ODI30_PostopCV
ODI__CVD_mortality__continuous_standardized	ODI	CVD mortality	continuous_standardized	1	0	MrOS		narrative_single_study	hold_default	no	Only one independent adjusted ODI row is available for cardiovascular mortality, and it serves mainly as a comparator against stronger T90/HB signals in the same cohort.		Baumert_2020_MrOS_CVDmort_ODI_perSD
ODI__MACCE__continuous_log	ODI	MACCE	continuous_log	1	0	OSAACS_RCIR2025		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Xu_2025_OSAACS_RCIR_LogODI_MACCE
ODI__all-cause_mortality__categorical_high_vs_low	ODI	all-cause mortality	categorical_high_vs_low	1	0	CoroKindElderly2011		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Johansson_2011_ElderlyCVD_ODI10_AllCause
ODI__all-cause_mortality__continuous_raw_unit	ODI	all-cause mortality	continuous_raw_unit	1	0	Azakli_clinicalOSA		narrative_single_study	hold_default	no	Only one independent adjusted ODI row is currently available for all-cause mortality, reported on a raw-unit scale in a clinical OSA cohort.		Azakli_2024_clinicalOSA_allcause_ODI_per1unit
ODI__cerebrovascular_events__categorical_high_vs_low	ODI	cerebrovascular events	categorical_high_vs_low	1	0	CADSweden2001		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Mooe_2001_CAD_ODI5_Cerebrovascular
ODI__composite_readmission_or_mortality__categorical_high_vs_low	ODI	composite readmission or mortality	categorical_high_vs_low	1	0	ADHF_LVSystolic2014		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Ohmura_2014_ADHF_ODI4_SDB_Composite
SASHB__incident_heart_failure__continuous_standardized	SASHB	incident heart failure	continuous_standardized	2	2	MrOS; SHHS	MrOS; SHHS	pool_primary	meta_ready	yes	Two independent cohorts report the same SASHB per-1-SD association with incident heart failure in men.	Azarbarzin_2020_SHHS_men_incHF_SASHB_per1SD; Azarbarzin_2020_MrOS_men_incHF_SASHB_per1SD	
T90__CVD_mortality__categorical_high_vs_low	T90	CVD mortality	categorical_high_vs_low	1	0	MrOS		narrative_single_study	hold_default	no	Only one independent categorical T90 row is currently available, and its threshold is study-specific (>12 min) rather than universally standardized.		Baumert_2020_MrOS_CVDmort_T90_Q4gt12min
T90__CVD_mortality__continuous_standardized	T90	CVD mortality	continuous_standardized	1	0	MrOS		narrative_single_study	hold_default	no	Only one independent AHI-adjusted T90 row is currently available for cardiovascular mortality.		Baumert_2020_MrOS_CVDmort_T90_perSD
T90__MACE__continuous_log	T90	MACE	continuous_log	1	0	Pays_de_la_Loire		narrative_single_study	hold_default	no	Only one independent T90 log-scale MACE row is available.		Trzepizur_2022_PaysLoire_MACE_logT90_M2
T90__all-cause_mortality__continuous_fixed_increment_hour	T90	all-cause mortality	continuous_fixed_increment_hour	1	0	HFREF_Germany2016		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Oldenburg_2016_HFREF_T90_h_AllCause
T90__atrial_tachyarrhythmia_recurrence__categorical_high_vs_low	T90	atrial tachyarrhythmia recurrence	categorical_high_vs_low	1	0	AFCAJapan2022		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Suzuki_2022_AFablation_T90gt20_Recurrence
T90__incident_atrial_fibrillation__categorical_high_vs_low	T90	incident atrial fibrillation	categorical_high_vs_low	1	0	Blanchard_multicenterOSA		narrative_single_study	hold_default	no	Only one independent categorical T90 AF row is currently available, using study-specific quartiles rather than a standardized threshold.		BrianconMarjollet_2021_multicenterOSA_incAF_T90_q4
T90__incident_atrial_fibrillation__continuous_fixed_increment	T90	incident atrial fibrillation	continuous_fixed_increment	1	0	Cleveland_sleep_cohort		narrative_single_study	hold_default	no	A second AF-focused T90 paper now exists, but it reports a per-1% scale rather than the Cleveland cohort's per-10-unit scale, so default pooling remains deferred pending explicit scale harmonization.		Heinzinger_2023_Cleveland_incAF_T90_per10
T90__incident_atrial_fibrillation__continuous_raw_unit	T90	incident atrial fibrillation	continuous_raw_unit	1	0	Blanchard_multicenterOSA		narrative_single_study	hold_default	no	Only one independent T90 raw-unit AF row is currently available, although a separate fixed-increment AF row exists in another cohort.		BrianconMarjollet_2021_multicenterOSA_incAF_T90_per1pct
T90__incident_hospitalized_atrial_fibrillation__categorical_high_vs_low	T90	incident hospitalized atrial fibrillation	categorical_high_vs_low	1	0	Ontario_suspectedOSA_2018		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Kendzerska_2018_SuspectedOSA_T90gt30pct_IncidentHospAF
nadir_SpO2__MACCE__continuous_log	nadir SpO2	MACCE	continuous_log	1	0	OSAACS_RCIR2025		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		Xu_2025_OSAACS_RCIR_LogNadir_MACCE
nadir_SpO2__incident_atrial_fibrillation__continuous_fixed_increment	nadir SpO2	incident atrial fibrillation	continuous_fixed_increment	1	0	Cleveland_sleep_cohort		narrative_single_study	hold_default	no	Only one independent nadir-SpO2 fixed-increment AF row is available.		Heinzinger_2023_Cleveland_incAF_minSpO2_per10decrease
nocturnal_hypoxemia__composite_mortality_or_HF_readmission__categorical_high_vs_low	nocturnal hypoxemia	composite mortality or HF readmission	categorical_high_vs_low	1	0	Spain_ADHF_2018		narrative_single_study	hold_default	no	Continue narrative synthesis until more compatible studies are available.		RiveraLopez_2018_HF_nocturnalHypoxemia_PositivePulseOx_Composite
