article_pmid	study_id	cohort_id	sex_subgroup	country	design	cohort_name	population_setting	analytic_n	events_n	n_age_mean	n_male_percent	n_bmi_mean	osa_definition	exposure_metric	exposure_definition	exposure_scale	comparator_type	outcome_primary	outcome_definition	follow_up_years	effect_measure	effect_estimate	ci_lower	ci_upper	p_value	model_used	adjustment_summary	ahi_adjusted	sleep_study_type	pooling_eligibility	source_location	notes	source_round	scale_family	main_pool_flag	sensitivity_flag	duplicate_cohort_flag	duplicate_reason	preferred_model_flag
38773880	Hui_2024_SHHS_CVDmort_ODI_L3vsL1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; not restricted to OSA at entry	4485	287 CVD deaths				community cohort; not restricted to OSA	ODI	oxygen desaturation index (>=3% desaturations per hour)	severe category L3 vs mild category L1	categorical high vs low	CVD mortality	CVD-related death after baseline PSG		HR	1.04	0.70	1.56		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and prior CVD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD mortality, ODI L3 vs L1	Same SHHS mortality dataset family as other HB papers; retain for ODI head-to-head sensitivity rather than main pooled estimate.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_CVDmort_rHB_Q5vsQ1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; not restricted to OSA at entry	4485	287 CVD deaths				community cohort; not restricted to OSA	rHB	reconstructed hypoxic burden based on event-related desaturation areas normalized by sleep duration	highest quintile Q5 vs lowest quintile Q1	categorical high vs low	CVD mortality	CVD-related death after baseline PSG		HR	1.63	1.05	2.53		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and prior CVD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD mortality, rHB Q5 vs Q1	Same SHHS cohort as prior mortality studies; exposure is reconstructed HB and should be treated as same-cohort metric-comparison sensitivity.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_incidentCVD_ODI_L3vsL1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; baseline-prevalent CVD excluded for morbidity dataset	3872	723 incident CVD events				community cohort; not restricted to OSA	ODI	oxygen desaturation index (>=3% desaturations per hour)	severe category L3 vs mild category L1	categorical high vs low	incident CVD	first adjudicated cardiovascular event including myocardial infarction, stroke, coronary surgical intervention, heart failure, or CHD-related death		HR	1.07	0.83	1.39		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD morbidity, ODI L3 vs L1	Useful for ODI head-to-head comparison in SHHS; not a stand-alone primary anchor.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_incidentCVD_rHB_Q5vsQ1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; baseline-prevalent CVD excluded for morbidity dataset	3872	723 incident CVD events				community cohort; not restricted to OSA	rHB	reconstructed hypoxic burden based on event-related desaturation areas normalized by sleep duration	highest quintile Q5 vs lowest quintile Q1	categorical high vs low	incident CVD	first adjudicated cardiovascular event including myocardial infarction, stroke, coronary surgical intervention, heart failure, or CHD-related death		HR	1.24	0.95	1.62		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD morbidity, rHB Q5 vs Q1	Unique SHHS non-fatal CVD composite for reconstructed HB, but still best treated as metric-comparison sensitivity.	round2	categorical_high_vs_low	no	yes	no		yes
31081538	Labarca_2019_T90_allcause_gt20pct	Single_center_OSA	mixed		retrospective cohort	single-centre moderate-to-severe OSA cohort	newly diagnosed moderate-to-severe OSA without concomitant respiratory disease	365	not reported	56.3		32.3	moderate-to-severe OSA at diagnosis	T90	percentage of total sleep time spent with SaO2 <90%	>20% vs <=20%	categorical threshold	all-cause mortality	death over 5-year follow-up; all-cause mortality from civil registry	5	OR	2.70	1.37	5.22	0.0048	OR-based threshold analysis	unadjusted odds-ratio analysis using chi-square/Fisher comparisons in GraphPad Prism; no multivariable adjustment reported	no	diagnostic sleep study	sensitivity_unadjusted_threshold	Results paragraph and Table 1 in supplied PDF	Full text confirms an unadjusted threshold analysis with 8% mortality for T90 <=20% versus 18% for T90 >20%; no separate extractable nadir-SaO2 mortality estimate was reported.	round2	categorical_threshold	no	yes	no		yes
39206667	Vichova_2025_SHHS_DM_allcause_T90_gt9.1	SHHS_DM	mixed	USA	prospective subgroup cohort analysis	SHHS diabetes subgroup	community-based adults with diabetes	453	214 all-cause deaths	68.4	55.8		sleep-disordered breathing variables assessed in community cohort with diabetes	T90	percentage of sleep time with SpO2 <90%	>9.1% vs <=9.1%	categorical threshold	all-cause mortality	death from any cause	9.5	HR	1.86	1.27	2.72		adjusted hazard model with ventile-derived cutoff	age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD	no	type II PSG	special_population_sensitivity	Table 3, Time of SpO2 <90%, all-cause mortality, DM row	Diabetes subgroup only; cutoff was selected empirically within the cohort and should stay in sensitivity analyses.	round2	categorical_threshold	no	yes	no		yes
39206667	Vichova_2025_SHHS_treatedDM_allcause_ODI_gt13.3	SHHS_treated_DM	mixed	USA	prospective subgroup cohort analysis	SHHS treated-diabetes subgroup	community-based adults with treated diabetes	not reported for treated-DM subgroup	not reported for treated-DM subgroup				sleep-disordered breathing variables assessed in treated diabetes subgroup	ODI	oxygen desaturation index (>=3% desaturations per hour)	>13.3 vs <=13.3	categorical threshold	all-cause mortality	death from any cause	9.5 mean in overall DM subgroup	HR	1.58	1.10	2.25		adjusted hazard model with ventile-derived cutoff	age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD	no	type II PSG	special_population_sensitivity	Table 3, ODI, all-cause mortality, Treated DM row	Nested treated-DM subgroup; subgroup size and event count were not reported in accessible full text.	round2	categorical_threshold	no	yes	no		yes
40008168	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_C3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3698	223 cardiovascular deaths	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	CVD mortality	cardiovascular death over follow-up	11.7 median	HR	1.63	1.13	2.35		Model C3	symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturation nadir	yes	home-based PSG	ahi_adjusted_sensitivity	Table 1, Model C3, cardiovascular mortality	This is the paper's highlighted incremental-risk result; treat as AHI/other-severity-adjusted sensitivity rather than the default main estimate.	round3	continuous_log	no	yes	yes	same_article_same_cohort_same_outcome_alt_model	no
40008168	Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_C3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3698	947 MACE events	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	MACE	first major adverse cardiovascular event including CHD, heart failure, stroke, or cardiovascular mortality	11.4 median	HR	1.05	0.89	1.23		Model C3	symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturation nadir	yes	home-based PSG	ahi_adjusted_sensitivity	Table 1, Model C3, MACE	Incremental model remained null for MACE after adjustment for other OSA severity measures.	round3	continuous_log	no	yes	yes	same_article_same_cohort_same_outcome_alt_model	no
8889364	Mooe_1996_PostCABG_ODI5_PostopAF	PostCABG_Sweden1996	mixed	Sweden	prospective surgical cohort	coronary artery bypass surgery cohort	consecutive adults undergoing coronary artery bypass surgery with preoperative sleep study	121	32				sleep-disordered breathing defined preoperatively by AHI >=5 or ODI >=5	ODI	ODI >=5 events/hour defining sleep-disordered breathing with nocturnal hypoxaemia	ODI >=5 vs <5	categorical high vs low	post-CABG atrial fibrillation	atrial fibrillation after coronary artery bypass surgery requiring pharmacological intervention or cardioversion before discharge	in-hospital postoperative follow-up	RR	2.8	1.2	6.8		multiple logistic regression model	age, left ventricular function, aortic cross-clamp time, maximum postoperative lactate dehydrogenase, and ODI-defined disordered breathing	no	preoperative sleep study	sensitivity_specialized_postcabg_af	PubMed abstract for PMID 8889364	Abstract-level extraction only. ODI-defined disordered breathing, not AHI, was the independent postoperative AF predictor in this specialized CABG cohort.	round14	categorical_high_vs_low	no	yes	no		yes
