article_pmid	study_id	exposure_metric	outcome_primary	scale_family	summary_effect_label	pooling_eligibility	main_pool_flag	sensitivity_flag	source_round	source_location	notes
37418748	Labarca_2023_MrOS_CVDdeath_HB_per1SD	HB	CVD mortality	continuous_standardized	HR 1.2200 (1.1000-1.3500)	continuous_standardized_main	yes	no	round1	Table 3 Model 4; MrOS results paragraph	Main-text excerpt did not report the exact number of CVD deaths in this 2023 article.
40008168	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_B3	HB	CVD mortality	continuous_log	HR 1.2200 (0.9500-1.5600)	continuous_log_main	yes	no	round3	Table 1, Model B3, cardiovascular mortality	HB effect adjusted for symptom subtypes and clinical covariates, but not for AHI/T90/nadir.
40008168	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_C3	HB	CVD mortality	continuous_log	HR 1.6300 (1.1300-2.3500)	ahi_adjusted_sensitivity	no	yes	round3	Table 1, Model C3, cardiovascular mortality	This is the paper's highlighted incremental-risk result; treat as AHI/other-severity-adjusted sensitivity rather than the default main estimate.
40818776	Peker_2025_RICCADSA_highHB_MACCE	HB	MACCE	categorical_high_vs_low	HR 1.8700 (1.1700-2.9800)	sensitivity_specialized_secondary_prevention	no	yes	round16	PubMed abstract for PMID 40818776	Specialized secondary-prevention cohort. High HB, but not AHI >=30/h, was associated with MACCEs. Keep as a specialized HB-MACCE sensitivity/comparator row rather than merge with the default pooled core.
40008168	Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_B3	HB	MACE	continuous_log	HR 0.9800 (0.8700-1.1100)	continuous_log_main	yes	no	round3	Table 1, Model B3, MACE	Null HB-MACE result in the free-of-baseline-CVD SHHS cohort.
40008168	Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_C3	HB	MACE	continuous_log	HR 1.0500 (0.8900-1.2300)	ahi_adjusted_sensitivity	no	yes	round3	Table 1, Model C3, MACE	Incremental model remained null for MACE after adjustment for other OSA severity measures.
34648724	Trzepizur_2022_PaysLoire_MACE_logHB_M2	HB	MACE	continuous_log	HR 1.2100 (1.0700-1.3800)	continuous_log_main	yes	no	round4	Table 2 Model 2; user-supplied PDF	Primary clinical-cohort HB anchor with CPAP-adjusted MACE model; all-cause mortality was discussed separately in text but was not rowed because the extracted snippet did not restate the model label.
37418748	Labarca_2023_MrOS_incidentCVD_HB_per1SD	HB	incident CVD	continuous_standardized	HR 1.1300 (1.0200-1.2600)	continuous_standardized_main	yes	no	round1	Table 3 Model 4; MrOS results paragraph	Baseline characteristics were reported as medians: age 76 [72-80], BMI 27.0 [25.0-29.0], male 100%.
37418748	Labarca_2023_MESA_hardCVD_HB_per1SD	HB	incident hard CVD	continuous_standardized	HR 1.4500 (1.1400-1.8400)	continuous_standardized_main	yes	no	round1	Table 2 Model 4; MESA results paragraph	Baseline characteristics were reported as medians: age 67 [61-75], BMI 27.9 [24.7-31.8], male 46.4%.
35131555	Chung_2022_Surgery_ODI30_PostopCV	ODI	30-day postoperative cardiovascular events	categorical_high_vs_low	HR 1.6300 (1.0500-2.5300)	sensitivity_specialized_perioperative	yes	no	round12	Abstract in 1-s2.0-S0952818022000095-main.pdf	Protocol-adjacent ODI signal in a perioperative unrecognized-OSA setting; keep as specialized sensitivity evidence rather than merge with chronic OSA prognostic cohorts.
