article_pmid	citation_key	review_role	cohorts	design	main_metric_family	main_outcomes	study_participation	study_attrition	prognostic_factor_measurement	outcome_measurement	confounding	statistical_analysis_reporting	overall_judgment	overall_reason	domain_notes
8889364	Mooe_1996_PostCABG_Abstract	specialized_sensitivity_abstract_only	post-CABG surgical cohort	prospective surgical cohort	ODI	postoperative atrial fibrillation	moderate	moderate	moderate	moderate	high	high	high	Abstract-level extraction only from an older specialized postoperative cohort; limited reporting detail and specialized surgical framing warrant high overall bias risk.	Retained as specialized AF sensitivity evidence rather than as protocol-concordant primary OSA prognostic evidence.
11734445	Mooe_2001_AJRCCM	primary_single_study_cell	coronary angiography CAD cohort	prospective cohort	ODI	cerebrovascular events	moderate	moderate	moderate	moderate	moderate	moderate	moderate	Prospective CAD cohort with adjusted cerebrovascular outcomes, but older design features, limited modern sleep-phenotyping detail, and CAD-specific selection constrain generalizability.	Useful ODI cerebrovascular signal, but it remains a specialized cardiovascular-population study rather than a direct clinical-OSA replication.
21724460	Johansson_2011_SleepMed	primary_single_study_cell	elderly community subgroup with CVD and impaired systolic function	prospective community cohort subgroup analysis	ODI	all-cause mortality	moderate	moderate	moderate	low	moderate	moderate	moderate	Community-based design is a strength, but the extracted association is confined to a high-risk subgroup, which reduces transportability and increases interpretation complexity.	Retain as subgroup-sensitive ODI mortality evidence rather than as a direct adult-OSA anchor.
24342759	Ohmura_2014_AmJCardiol	primary_single_study_cell	predischarge acute decompensated heart-failure cohort	prospective hospital cohort	ODI	death or heart-failure readmission	high	moderate	moderate	moderate	high	moderate	high	Very specialized hospitalized heart-failure cohort with limited size and stepwise modeling, creating high confounding and selection concerns.	Useful as specialized ODI hard-outcome sensitivity only.
26612581	Oldenburg_2016_EHJ	primary_single_study_cell	stable HF-REF cohort	prospective cohort	T90	all-cause mortality	moderate	low	moderate	low	moderate	low	moderate	Long follow-up and adjusted mortality modeling are strengths, but the mixed obstructive/central SDB heart-failure setting limits direct applicability to adult OSA prognosis.	Important T90 mortality comparator in HF, not a direct OSA main-pool anchor.
29277336	RiveraLopez_2018_MedClin	primary_single_study_cell	decompensated heart-failure pulse-oximetry cohort	prospective hospital cohort	nocturnal hypoxemia	mortality or heart-failure readmission	high	moderate	moderate	moderate	high	moderate	high	Extremely small specialized cohort with wide confidence intervals and limited recoverable model detail, making the estimate fragile and high risk of bias.	Sensitivity-only nocturnal-hypoxemia signal in hospitalized HF.
30243978	Kendzerska_2018_Chest	primary_single_study_cell	suspected OSA diagnostic-sleep-study cohort	historical clinical cohort	T90	incident hospitalized atrial fibrillation	moderate	low	moderate	moderate	moderate	moderate	moderate	Large clinically relevant cohort with hard AF outcome linkage, but suspected-OSA referral sampling and non-AHI-adjusted nocturnal-hypoxemia modeling warrant moderate caution.	Materially strengthens the AF-oriented T90 evidence stream without yet resolving all scale and endpoint harmonization issues.
30376054	Azarbarzin_2019_EHJ	primary_main	MrOS; SHHS	prospective community cohort	HB	CVD mortality	low	low	low	low	low	low	low	Large well-characterized cohorts, adjudicated mortality outcomes, robust covariate adjustment including AHI/MinSat/TST90, and consistent reporting.	Community-dwelling older cohorts are not clinic-defined OSA samples but are still appropriate for prognostic evaluation.
30590586	Baumert_2020_EHJ	primary_single_study_cell	MrOS	prospective cohort secondary analysis	T90; ODI	CVD mortality	low	low	low	low	moderate	low	moderate	Well-conducted community cohort analysis with objective nocturnal hypoxemia measures and AHI adjustment, but older-men-only sampling and decomposition of oxygen-burden components introduce moderate generalizability and comparability concerns.	This paper is methodologically strong and clinically useful, but it is best interpreted as a single-cohort T90/ODI cardiovascular-mortality anchor rather than definitive replication.
31081538	Labarca_2019_SleepBreath	sensitivity_threshold_only	single-centre moderate-to-severe OSA cohort	retrospective cohort	T90; nadir SpO2	all-cause mortality	high	moderate	moderate	low	high	high	high	Single-centre threshold analysis with no multivariable adjustment and OR-based bivariate comparisons only.	Useful as a sensitivity signal but not robust enough for primary pooling.
32298733	Azarbarzin_2020_Chest	primary_main	SHHS; MrOS men	prospective cohort secondary analysis	SASHB	incident heart failure	low	low	low	low	low	moderate	low	Strong cohort design and adjusted survival models, with only minor reporting limitations around subgroup event counts.	Male-subgroup event counts were incompletely reported for SHHS, but effect estimates and model structure were clear.
