article_pmid	study_id	cohort_id	sex_subgroup	country	design	cohort_name	population_setting	analytic_n	events_n	n_age_mean	n_male_percent	n_bmi_mean	osa_definition	exposure_metric	exposure_definition	exposure_scale	comparator_type	outcome_primary	outcome_definition	follow_up_years	effect_measure	effect_estimate	ci_lower	ci_upper	p_value	model_used	adjustment_summary	ahi_adjusted	sleep_study_type	pooling_eligibility	source_location	notes	source_round	scale_family	main_pool_flag	sensitivity_flag	duplicate_cohort_flag	duplicate_reason	preferred_model_flag
30376054	Azarbarzin_2019_MrOS_CVDmort_Q5vsQ1	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2743	440 CVD deaths	76.3	100		not restricted to OSA at cohort entry	HB	total area under respiratory event-related desaturation curve from pre-event baseline divided by sleep duration	highest quintile (>80th percentile) vs lowest quintile (<20th percentile)	categorical high vs low	CVD mortality	underlying cause of death adjudicated as cardiovascular disease	10.0	HR	2.73	1.71	4.36		Model 4	age, BMI, race, sleep duration, smoking, alcohol, COPD, renal failure, AHI, MinSat, TST90, hypertension, diabetes, stroke, concurrent CVD, and lipid-lowering medication use	yes	unattended home PSG	categorical_high_vs_low_main	Table 3 Model 4; MrOS results paragraph	Continuous log10-HB estimates were later resolved from Supplementary Table S3 and extracted in round4; keep Q5 vs Q1 as the paper's main categorical presentation.	round1	categorical_high_vs_low	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
30376054	Azarbarzin_2019_SHHS_CVDmort_Q5vsQ1	SHHS	mixed	USA	prospective cohort	SHHS	community-based middle-aged and older adults; not restricted to OSA at entry	4672	313 CVD deaths	63.7	47.2		not restricted to OSA at cohort entry	HB	total area under respiratory event-related desaturation curve from pre-event baseline divided by sleep duration	highest quintile (>80th percentile) vs lowest quintile (<20th percentile)	categorical high vs low	CVD mortality	underlying cause of death adjudicated as cardiovascular disease	10.9	HR	1.96	1.11	3.43		Model 4	age, BMI, race, sex, sleep duration, study site, smoking, AHI, MinSat, TST90, hypertension, diabetes, stroke, prevalent angina/myocardial infarction/coronary revascularization, and lipid-lowering medication use	yes	unattended PSG	categorical_high_vs_low_main	Table 3 Model 4; SHHS results paragraph	All-cause mortality in SHHS was reported as non-significant in the main text; continuous log10-HB estimates were later extracted from Supplementary Table S3 in round4.	round1	categorical_high_vs_low	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
32298733	Azarbarzin_2020_SHHS_men_incHF_SASHB_per1SD	SHHS_men	men	USA	prospective cohort secondary analysis	SHHS	community-based middle-aged and older adults; effect estimated from male subgroup via sex interaction	2259 men subgroup; 4535 in fully adjusted interaction model	not reported for men-only subgroup; 543 incident HF events overall	63.7	100	28.5	not restricted to OSA at cohort entry	SASHB	sleep apnea-specific area under desaturation curve from pre-event baseline	per 1 SD increase in natural log-transformed SASHB	continuous standardized	incident heart failure	first adjudicated fatal or nonfatal heart failure event	10.4	HR	1.18	1.02	1.37		Model 2b fully adjusted sex-interaction model	age, sex, sex*SASHB interaction, race, BMI, total sleep time, study site, smoking, COPD, diabetes, hypertension, prevalent CHD, and stroke	no	unattended type 2 PSG	continuous_standardized_main	Results paragraph p0095; Figure 4 caption	Competing-risk sensitivity HR was 1.19 (95% CI 1.02-1.38).	round1	continuous_standardized	yes	no	no		yes
32298733	Azarbarzin_2020_MrOS_men_incHF_SASHB_per1SD	MrOS_men	men	USA	prospective cohort secondary analysis	MrOS Sleep Study	community-based older men	2653; 2646 in fully adjusted model	145 incident HF cases	76.4	100	27.1	not restricted to OSA at cohort entry	SASHB	sleep apnea-specific area under desaturation curve from pre-event baseline	per 1 SD increase in natural log-transformed SASHB	continuous standardized	incident heart failure	first adjudicated fatal or nonfatal heart failure event	8.8	HR	1.22	1.02	1.45		Model 2b fully adjusted model	age, race, BMI, total sleep time, study site, smoking, COPD, diabetes, hypertension, prevalent CHD, and stroke	no	unattended type 2 PSG	continuous_standardized_main	Results paragraph p0100; Figure 5 caption	Competing-risk sensitivity HR was 1.24 (95% CI 1.03-1.50).	round1	continuous_standardized	yes	no	no		yes
37418748	Labarca_2023_MESA_hardCVD_HB_per1SD	MESA	mixed	USA	prospective cohort secondary analysis	MESA Sleep Study	community-based middle-aged and older adults; not restricted to OSA at entry	1891	110 incident hard CVD events		46.4		community cohort; not restricted to OSA	HB	total area under desaturation curve associated with all respiratory events per hour of sleep	per 1 SD increase in log-transformed standardized HB	continuous standardized	incident hard CVD	composite of myocardial infarction, resuscitated cardiac arrest, stroke, and CHD/stroke death	6.9 median	HR	1.45	1.14	1.84		Model 4	age, sex, race/ethnicity, BMI, hypertension, diabetes, smoking status, baseline wake SpO2, and desaturation sensitivity (HB/VB)	no	type 2 PSG	continuous_standardized_main	Table 2 Model 4; MESA results paragraph	Baseline characteristics were reported as medians: age 67 [61-75], BMI 27.9 [24.7-31.8], male 46.4%.	round1	continuous_standardized	yes	no	no		yes
37418748	Labarca_2023_MESA_allcause_HB_per1SD	MESA	mixed	USA	prospective cohort secondary analysis	MESA Sleep Study	community-based middle-aged and older adults; not restricted to OSA at entry	1973	196 all-cause deaths		46.4		community cohort; not restricted to OSA	HB	total area under desaturation curve associated with all respiratory events per hour of sleep	per 1 SD increase in log-transformed standardized HB	continuous standardized	all-cause mortality	death from any cause	6.9 median	HR	1.21	1.02	1.44		Model 4	age, sex, race/ethnicity, BMI, hypertension, diabetes, smoking status, baseline wake SpO2, and desaturation sensitivity (HB/VB)	no	type 2 PSG	continuous_standardized_main	Table 2 Model 4; MESA results paragraph	Baseline characteristics were reported as medians: age 67 [61-75], BMI 27.9 [24.7-31.8], male 46.4%.	round1	continuous_standardized	yes	no	no		yes
37418748	Labarca_2023_MrOS_incidentCVD_HB_per1SD	MrOS	men	USA	prospective cohort secondary analysis	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	1518	382 incident CVD events		100		community cohort; not restricted to OSA	HB	total area under desaturation curve associated with all respiratory events per hour of sleep	per 1 SD increase in log-transformed standardized HB	continuous standardized	incident CVD	composite of any fatal or nonfatal CVD event including CHD, cerebrovascular disease, peripheral vascular disease, other CVD events, and heart failure	9.4 median	HR	1.13	1.02	1.26		Model 4	age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)	no	full home PSG	continuous_standardized_main	Table 3 Model 4; MrOS results paragraph	Baseline characteristics were reported as medians: age 76 [72-80], BMI 27.0 [25.0-29.0], male 100%.	round1	continuous_standardized	yes	no	no		yes
37418748	Labarca_2023_MrOS_CVDdeath_HB_per1SD	MrOS	men	USA	prospective cohort secondary analysis	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2627			100		community cohort; not restricted to OSA	HB	total area under desaturation curve associated with all respiratory events per hour of sleep	per 1 SD increase in log-transformed standardized HB	continuous standardized	CVD mortality	cardiovascular death adjudicated by underlying cause of death	12.0 median	HR	1.22	1.10	1.35		Model 4	age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)	no	full home PSG	continuous_standardized_main	Table 3 Model 4; MrOS results paragraph	Main-text excerpt did not report the exact number of CVD deaths in this 2023 article.	round1	continuous_standardized	yes	no	no		yes
37418748	Labarca_2023_MrOS_allcause_HB_per1SD	MrOS	men	USA	prospective cohort secondary analysis	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2627			100		community cohort; not restricted to OSA	HB	total area under desaturation curve associated with all respiratory events per hour of sleep	per 1 SD increase in log-transformed standardized HB	continuous standardized	all-cause mortality	death from any cause	12.0 median	HR	1.06	1.00	1.12		Model 4	age, race, BMI, hypertension, diabetes, smoking status, COPD, preevent SpO2, and desaturation sensitivity (HB/VB)	no	full home PSG	continuous_standardized_main	Table 3 Model 4; MrOS results paragraph	Main-text excerpt did not report the exact number of all-cause deaths in this 2023 article.	round1	continuous_standardized	yes	no	no		yes
38773880	Hui_2024_SHHS_CVDmort_ODI_L3vsL1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; not restricted to OSA at entry	4485	287 CVD deaths				community cohort; not restricted to OSA	ODI	oxygen desaturation index (>=3% desaturations per hour)	severe category L3 vs mild category L1	categorical high vs low	CVD mortality	CVD-related death after baseline PSG		HR	1.04	0.70	1.56		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and prior CVD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD mortality, ODI L3 vs L1	Same SHHS mortality dataset family as other HB papers; retain for ODI head-to-head sensitivity rather than main pooled estimate.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_CVDmort_rHB_Q5vsQ1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; not restricted to OSA at entry	4485	287 CVD deaths				community cohort; not restricted to OSA	rHB	reconstructed hypoxic burden based on event-related desaturation areas normalized by sleep duration	highest quintile Q5 vs lowest quintile Q1	categorical high vs low	CVD mortality	CVD-related death after baseline PSG		HR	1.63	1.05	2.53		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, COPD, and prior CVD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD mortality, rHB Q5 vs Q1	Same SHHS cohort as prior mortality studies; exposure is reconstructed HB and should be treated as same-cohort metric-comparison sensitivity.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_incidentCVD_ODI_L3vsL1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; baseline-prevalent CVD excluded for morbidity dataset	3872	723 incident CVD events				community cohort; not restricted to OSA	ODI	oxygen desaturation index (>=3% desaturations per hour)	severe category L3 vs mild category L1	categorical high vs low	incident CVD	first adjudicated cardiovascular event including myocardial infarction, stroke, coronary surgical intervention, heart failure, or CHD-related death		HR	1.07	0.83	1.39		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD morbidity, ODI L3 vs L1	Useful for ODI head-to-head comparison in SHHS; not a stand-alone primary anchor.	round2	categorical_high_vs_low	no	yes	no		yes
38773880	Hui_2024_SHHS_incidentCVD_rHB_Q5vsQ1	SHHS	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults aged >40 years; baseline-prevalent CVD excluded for morbidity dataset	3872	723 incident CVD events				community cohort; not restricted to OSA	rHB	reconstructed hypoxic burden based on event-related desaturation areas normalized by sleep duration	highest quintile Q5 vs lowest quintile Q1	categorical high vs low	incident CVD	first adjudicated cardiovascular event including myocardial infarction, stroke, coronary surgical intervention, heart failure, or CHD-related death		HR	1.24	0.95	1.62		Model 1	age category, race, gender, BMI category, smoking status, hypertension, diabetes, lipid-lowering drug use, and COPD	no	unattended PSG	same_cohort_metric_comparison_sensitivity	Table 2 Model 1, CVD morbidity, rHB Q5 vs Q1	Unique SHHS non-fatal CVD composite for reconstructed HB, but still best treated as metric-comparison sensitivity.	round2	categorical_high_vs_low	no	yes	no		yes
31081538	Labarca_2019_T90_allcause_gt20pct	Single_center_OSA	mixed		retrospective cohort	single-centre moderate-to-severe OSA cohort	newly diagnosed moderate-to-severe OSA without concomitant respiratory disease	365	not reported	56.3		32.3	moderate-to-severe OSA at diagnosis	T90	percentage of total sleep time spent with SaO2 <90%	>20% vs <=20%	categorical threshold	all-cause mortality	death over 5-year follow-up; all-cause mortality from civil registry	5	OR	2.70	1.37	5.22	0.0048	OR-based threshold analysis	unadjusted odds-ratio analysis using chi-square/Fisher comparisons in GraphPad Prism; no multivariable adjustment reported	no	diagnostic sleep study	sensitivity_unadjusted_threshold	Results paragraph and Table 1 in supplied PDF	Full text confirms an unadjusted threshold analysis with 8% mortality for T90 <=20% versus 18% for T90 >20%; no separate extractable nadir-SaO2 mortality estimate was reported.	round2	categorical_threshold	no	yes	no		yes
39206667	Vichova_2025_SHHS_DM_allcause_T90_gt9.1	SHHS_DM	mixed	USA	prospective subgroup cohort analysis	SHHS diabetes subgroup	community-based adults with diabetes	453	214 all-cause deaths	68.4	55.8		sleep-disordered breathing variables assessed in community cohort with diabetes	T90	percentage of sleep time with SpO2 <90%	>9.1% vs <=9.1%	categorical threshold	all-cause mortality	death from any cause	9.5	HR	1.86	1.27	2.72		adjusted hazard model with ventile-derived cutoff	age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD	no	type II PSG	special_population_sensitivity	Table 3, Time of SpO2 <90%, all-cause mortality, DM row	Diabetes subgroup only; cutoff was selected empirically within the cohort and should stay in sensitivity analyses.	round2	categorical_threshold	no	yes	no		yes
39206667	Vichova_2025_SHHS_treatedDM_allcause_ODI_gt13.3	SHHS_treated_DM	mixed	USA	prospective subgroup cohort analysis	SHHS treated-diabetes subgroup	community-based adults with treated diabetes	not reported for treated-DM subgroup	not reported for treated-DM subgroup				sleep-disordered breathing variables assessed in treated diabetes subgroup	ODI	oxygen desaturation index (>=3% desaturations per hour)	>13.3 vs <=13.3	categorical threshold	all-cause mortality	death from any cause	9.5 mean in overall DM subgroup	HR	1.58	1.10	2.25		adjusted hazard model with ventile-derived cutoff	age, sex, race, BMI, hypertension, SDB treatment, smoker status, and history of CVD	no	type II PSG	special_population_sensitivity	Table 3, ODI, all-cause mortality, Treated DM row	Nested treated-DM subgroup; subgroup size and event count were not reported in accessible full text.	round2	categorical_threshold	no	yes	no		yes
37947123	Heinzinger_2023_Cleveland_incAF_T90_per10	STARLIT_noBaselineAF	mixed	USA	retrospective clinical cohort	Cleveland Clinic sleep-study cohort	clinical sleep-study patients without baseline AF	42057	1947 incident AF events	50.7	51.3	33.2 median	clinical sleep-study cohort; not restricted to OSA at entry	T90	percentage of time oxygen saturation is <90%	per 10-unit increase	continuous standardized	incident atrial fibrillation	first AF diagnosis within 5 years identified from ICD-9/10-based electronic medical records	5	HR	1.06	1.04	1.08		Table 2 fully adjusted model	age, sex, race, BMI, smoking history, COPD, CAD, heart failure, myocardial infarction, CABG, hypertension, diabetes, hyperlipidemia, antiarrhythmic medications, and PAP therapy	no	clinical sleep study	continuous_standardized_main	Table 2; Figure 2B; Primary Analysis paragraph	Main hypoxia row for AF pooling from a large clinical cohort.	round3	continuous_fixed_increment	yes	no	no		yes
